der Name, die Namen	name
bike	"das Fahrrad, die Fahrräder
Kurzform: das Rad, die Räder"
Ich fahre mit dem Fahrrad.	I ride a bike.
I ride a bike.	Ich fahre mit dem Fahrrad.
das Auto, die Autos	car
car	das Auto, die Autos
Ich fahre mit dem Auto.	I drive a car.
I drive a car.	Ich fahre mit dem Auto.
"das Taxi, die Taxis
alternativ: die Taxe, die Taxen"	taxi
taxi	"das Taxi, die Taxis
alternativ: die Taxe, die Taxen"
Ich möchte verreisen.	I want to travel.
I want to travel.	Ich möchte verreisen.
Wohin fährst du?	  Where are you traveling to?
  Where are you traveling to?	Wohin fährst du?
Ich möchte nach Berlin fahren.	I want to go to Berlin.
I want to go to Berlin.	Ich möchte nach Berlin fahren.
Ich möchte Freunde besuchen.	I want to visit friends.
I want to visit friends.	Ich möchte Freunde besuchen.
"der Hauptbahnhof, die Hauptbahnhöfe
Abkürzung: Hbf."	main train station
main train station	"der Hauptbahnhof, die Hauptbahnhöfe
Abkürzung: Hbf."
der Zug, die Züge	train
train	der Zug, die Züge
Entschuldigung, fährt der Zug nach Berlin?	Excuse me, does the train go to Berlin?
Excuse me, does the train go to Berlin?	Entschuldigung, fährt der Zug nach Berlin?
Entschuldigung, wann fährt der Zug?	Excuse me, when does the train leave?
Excuse me, when does the train leave?	Entschuldigung, wann fährt der Zug?
Der Zug fährt um 12:30 Uhr.	The train leaves at 12:30 p.m.
The train leaves at 12:30 p.m.	Der Zug fährt um 12:30 Uhr.
Der Zug hat Verspätung.	The train is delayed.
The train is delayed.	Der Zug hat Verspätung.
die Bahn, die Bahnen	train
train	die Bahn, die Bahnen
Die Bahn fährt nach Potsdam.	The train goes to Potsdam.
The train goes to Potsdam.	Die Bahn fährt nach Potsdam.
"der ICE, die ICEs
Abkürzung für: Intercityexpress"	Intercity-Express
Intercity-Express	"der ICE, die ICEs
Abkürzung für: Intercityexpress"
Der ICE fährt nach München.	The ICE goes to Munich.
The ICE goes to Munich.	Der ICE fährt nach München.
das Flugzeug, die Flugzeuge	airplane
airplane	das Flugzeug, die Flugzeuge
Ich fliege nach Ägypten.	I'm flying to Egypt.
I'm flying to Egypt.	Ich fliege nach Ägypten.
die Fähre, die Fähren	ferry
ferry	die Fähre, die Fähren
die Fahrkarte, die Fahrkarten	ticket
ticket	die Fahrkarte, die Fahrkarten
"das Ticket, die Tickets
aus dem Englischen"	ticket
ticket	"das Ticket, die Tickets
aus dem Englischen"
Entschuldigung, wo kann ich eine Fahrkarte kaufen?	Excuse me, where can I buy a ticket?
Excuse me, where can I buy a ticket?	Entschuldigung, wo kann ich eine Fahrkarte kaufen?
Entschuldigung, ich brauche ein Ticket nach Berlin.	Excuse me, I need a ticket to Berlin.
Excuse me, I need a ticket to Berlin.	Entschuldigung, ich brauche ein Ticket nach Berlin.
Entschuldigung, wie viel kostet eine Fahrkarte nach München?	Excuse me, how much is a ticket to Munich?
Excuse me, how much is a ticket to Munich?	Entschuldigung, wie viel kostet eine Fahrkarte nach München?
einfache Fahrt	one-way
one-way	einfache Fahrt
hin und zurück	round trip
round trip	hin und zurück
Ich möchte einen Sitzplatz reservieren bitte.	I'd like to reserve a seat.
I'd like to reserve a seat.	Ich möchte einen Sitzplatz reservieren bitte.
das Abteil, die Abteile	compartment
compartment	das Abteil, die Abteile
der Großraumwagen, die Großraumwagen	open coach
open coach	der Großraumwagen, die Großraumwagen
für die erste Klasse	for first class
for first class	für die erste Klasse
für die zweite Klasse	for second class
for second class	für die zweite Klasse
am Fenster	at the window
at the window	am Fenster
am Gang	on the aisle
on the aisle	am Gang
das Zentrum, die Zentren	city center
city center	das Zentrum, die Zentren
der Marktplatz, die Marktplätze	market square
market square	der Marktplatz, die Marktplätze
das Rathaus, die Rathäuser	city hall
city hall	das Rathaus, die Rathäuser
"die Post
nur Singular"	post office
post office	"die Post
nur Singular"
Entschuldigung, wo ist die Post?	Excuse me, where is the post office?
Excuse me, where is the post office?	Entschuldigung, wo ist die Post?
die Schule, die Schulen	school
school	die Schule, die Schulen
der Supermarkt, die Supermärkte	supermarket
supermarket	der Supermarkt, die Supermärkte
Der Supermarkt ist in der Nähe.	The supermarket is nearby.
The supermarket is nearby.	Der Supermarkt ist in der Nähe.
das Kino, die Kinos	movie theater
movie theater	das Kino, die Kinos
die Bank, die Banken	bank
bank	die Bank, die Banken
Entschuldigung, gibt es hier eine Bank?	Excuse me, is there a bank around here?
Excuse me, is there a bank around here?	Entschuldigung, gibt es hier eine Bank?
der Geldautomat, die Geldautomaten	ATM
ATM	der Geldautomat, die Geldautomaten
die Bushaltestelle, die Bushaltestellen	bus stop
bus stop	die Bushaltestelle, die Bushaltestellen
die öffentliche Toilette, die öffentlichen Toiletten	public bathroom
public bathroom	die öffentliche Toilette, die öffentlichen Toiletten
Entschuldigung, wie komme ich zum Hauptbahnhof?	Excuse me, how do I get to the main train station?
Excuse me, how do I get to the main train station?	Entschuldigung, wie komme ich zum Hauptbahnhof?
Entschuldigung, kennen Sie diese Adresse?	Excuse me, do you know where this address is? (formal)
Excuse me, do you know where this address is? (formal)	Entschuldigung, kennen Sie diese Adresse?
geradeaus	straight ahead
straight ahead	geradeaus
Gehen Sie geradeaus.	Walk straight ahead. (formal)
Walk straight ahead. (formal)	Gehen Sie geradeaus.
rechts	right
right	rechts
Biegen Sie rechts ab.	Turn right. (formal)
Turn right. (formal)	Biegen Sie rechts ab.
links	left
left	links
die Straße, die Straßen	street
street	die Straße, die Straßen
Nehmen Sie die nächste Straße links.	Turn left at the next street. (formal)
Turn left at the next street. (formal)	Nehmen Sie die nächste Straße links.
an der Ampel	at the stoplight
at the stoplight	an der Ampel
an der Kreuzung	at the intersection
at the intersection	an der Kreuzung
der Meter, die Meter	meter
meter	der Meter, die Meter
100 Meter	100 meters
100 meters	100 Meter
500 Meter	500 meters
500 meters	500 Meter
zu Fuß	on foot/to walk
on foot/to walk	zu Fuß
die Farbe, die Farben	color
color	die Farbe, die Farben
weiß	white
white	weiß
Das ist weiß.	That's white.
That's white.	Das ist weiß.
gelb	yellow
yellow	gelb
orange	orange
orange	orange
rot	red
red	rot
rosa	pink
pink	rosa
lila	purple
purple	lila
blau	blue
blue	blau
hellblau	light blue
light blue	hellblau
dunkelblau	dark blue
dark blue	dunkelblau
grün	green
green	grün
braun	brown
brown	braun
grau	gray
gray	grau
schwarz	black
black	schwarz
"bunt
bunter, am buntesten"	colorful
colorful	"bunt
bunter, am buntesten"
das Essen, die Essen	food/meal
food/meal	das Essen, die Essen
Das Essen ist fertig.	Dinner is ready. (literally: Food is ready.)
Dinner is ready. (literally: Food is ready.)	Das Essen ist fertig.
Ich habe Hunger.	I'm hungry.
I'm hungry.	Ich habe Hunger.
Guten Appetit!	Enjoy your meal!
Enjoy your meal!	Guten Appetit!
das Frühstück, die Frühstücke	breakfast
breakfast	das Frühstück, die Frühstücke
Wir frühstücken um acht Uhr.	We have breakfast at 8:00 a.m.
We have breakfast at 8:00 a.m.	Wir frühstücken um acht Uhr.
das Mittagessen, die Mittagessen	lunch
lunch	das Mittagessen, die Mittagessen
Um zwölf gibt es Mittagessen.	Lunch is at 12 o'clock.
Lunch is at 12 o'clock.	Um zwölf gibt es Mittagessen.
das Abendessen, die Abendessen	dinner/supper
dinner/supper	das Abendessen, die Abendessen
Wir essen um 20 Uhr zu Abend.	We eat dinner at 8:00 p.m.
We eat dinner at 8:00 p.m.	Wir essen um 20 Uhr zu Abend.
"der Nachtisch, die Nachtische
Plural selten"	dessert
dessert	"der Nachtisch, die Nachtische
Plural selten"
Was gibt’s zum Nachtisch?	What's for dessert?
What's for dessert?	Was gibt’s zum Nachtisch?
Ich bin satt.	I'm full.
I'm full.	Ich bin satt.
Entschuldigung, wo finde ich Waschmittel?	Excuse me, where is the laundry detergent?
Excuse me, where is the laundry detergent?	Entschuldigung, wo finde ich Waschmittel?
Entschuldigung, was kostet das?	Excuse me, how much does that cost?
Excuse me, how much does that cost?	Entschuldigung, was kostet das?
Das kostet 99 Cent.	It costs 99 cents.
It costs 99 cents.	Das kostet 99 Cent.
Das macht 10 Euro.	That'll be ten euros.
That'll be ten euros.	Das macht 10 Euro.
Wo ist die Kasse bitte?	Where's the checkout, please?
Where's the checkout, please?	Wo ist die Kasse bitte?
Zahlen Sie bar?	Are you paying cash? (formal)
Are you paying cash? (formal)	Zahlen Sie bar?
Ich möchte mit Karte zahlen.	I would like to pay with my credit card.
I would like to pay with my credit card.	Ich möchte mit Karte zahlen.
Wir akzeptieren keine Kreditkarten.	We do not accept credit cards.
We do not accept credit cards.	Wir akzeptieren keine Kreditkarten.
Das ist ein Sonderangebot.	That's a special offer.
That's a special offer.	Das ist ein Sonderangebot.
"etwas kaufen
kauft, kaufte, hat gekauft"	to buy
to buy	"etwas kaufen
kauft, kaufte, hat gekauft"
Ich kaufe Seife.	I'm buying soap.
I'm buying soap.	Ich kaufe Seife.
Das ist zu teuer.	That's too expensive.
That's too expensive.	Das ist zu teuer.
Möchten Sie eine Tüte?	Would you like a bag? (formal)
Would you like a bag? (formal)	Möchten Sie eine Tüte?
Bitte sehr.	Here you go.
Here you go.	Bitte sehr.
Danke schön.	Thank you very much.
Thank you very much.	Danke schön.
das Brot, die Brote	bread
bread	das Brot, die Brote
Ich hätte gerne ein Brot.	I would like a loaf of bread.
I would like a loaf of bread.	Ich hätte gerne ein Brot.
"der Käse
nur Singular"	cheese
cheese	"der Käse
nur Singular"
Ich möchte Käse kaufen.	I would like to buy some cheese.
I would like to buy some cheese.	Ich möchte Käse kaufen.
"der Reis
nur Singular"	rice
rice	"der Reis
nur Singular"
"Haben Sie Reis?
nur Singular"	Do you have rice? (formal)
Do you have rice? (formal)	"Haben Sie Reis?
nur Singular"
"die Nudel, die Nudeln
meist im Plural"	pasta
pasta	"die Nudel, die Nudeln
meist im Plural"
Wo finde ich Nudeln?	Where do I find the pasta?
Where do I find the pasta?	Wo finde ich Nudeln?
der Joghurt, die Joghurts	yoghurt
yoghurt	der Joghurt, die Joghurts
das Ei, die Eier	egg
egg	das Ei, die Eier
Ich möchte sechs Eier bitte.	I would like six eggs, please.
I would like six eggs, please.	Ich möchte sechs Eier bitte.
"die Butter
nur Singular"	butter
butter	"die Butter
nur Singular"
die Wurst, die Würste	cold meat/sausage
cold meat/sausage	die Wurst, die Würste
Ich hätte gerne 100 Gramm Wurst.	I would like 100 grams of cold meat.
I would like 100 grams of cold meat.	Ich hätte gerne 100 Gramm Wurst.
das Fleisch	meat
meat	das Fleisch
Ich möchte ein halbes Kilo Fleisch.	I would like half a kilo of meat.
I would like half a kilo of meat.	Ich möchte ein halbes Kilo Fleisch.
"das Rindfleisch
nur Singular"	beef
beef	"das Rindfleisch
nur Singular"
"das Schweinefleisch
nur Singular"	pork
pork	"das Schweinefleisch
nur Singular"
das Hähnchen, die Hähnchen	chicken
chicken	das Hähnchen, die Hähnchen
der Fisch, die Fische	fish
fish	der Fisch, die Fische
"das Obst
nur Singular"	fruit
fruit	"das Obst
nur Singular"
Ich möchte Obst kaufen.	I would like to buy some fruit.
I would like to buy some fruit.	Ich möchte Obst kaufen.
der Apfel, die Äpfel	apple
apple	der Apfel, die Äpfel
Ich möchte ein Kilo Äpfel bitte.	I would like a kilo of apples, please.
I would like a kilo of apples, please.	Ich möchte ein Kilo Äpfel bitte.
die Banane, die Bananen	banana
banana	die Banane, die Bananen
Ein Kilo Bananen bitte.	A kilo of bananas, please.
A kilo of bananas, please.	Ein Kilo Bananen bitte.
die Orange, die Orangen	orange
orange	die Orange, die Orangen
Fünf Orangen bitte.	Five oranges, please.
Five oranges, please.	Fünf Orangen bitte.
die Kirsche, die Kirschen	cherry
cherry	die Kirsche, die Kirschen
die Pflaume, die Pflaumen	plum
plum	die Pflaume, die Pflaumen
die Erdbeere, die Erdbeeren	strawberry
strawberry	die Erdbeere, die Erdbeeren
die Weintraube, die Weintrauben	grape
grape	die Weintraube, die Weintrauben
die Himbeere, die Himbeeren	raspberry
raspberry	die Himbeere, die Himbeeren
die Zitrone, die Zitronen	lemon
lemon	die Zitrone, die Zitronen
der Saft, die Säfte (nach Zahl meist: Saft)	juice
juice	der Saft, die Säfte (nach Zahl meist: Saft)
der Obstsalat, die Obstsalate	fruit salad
fruit salad	der Obstsalat, die Obstsalate
"das Gemüse
nur Singular"	vegetable(s)
vegetable(s)	"das Gemüse
nur Singular"
die Gurke, die Gurken	cucumber
cucumber	die Gurke, die Gurken
Ich möchte zwei Gurken kaufen.	I would like to buy two cucumbers.
I would like to buy two cucumbers.	Ich möchte zwei Gurken kaufen.
die Tomate, die Tomaten	tomato
tomato	die Tomate, die Tomaten
die Zwiebel, die Zwiebeln	onion
onion	die Zwiebel, die Zwiebeln
Ein Kilo Zwiebeln bitte.	One kilo of onions, please.
One kilo of onions, please.	Ein Kilo Zwiebeln bitte.
die Paprika, die Paprika	pepper
pepper	die Paprika, die Paprika
die Möhre, die Möhren	carrot
carrot	die Möhre, die Möhren
"der Kohl, die Kohle
Plural selten"	cabbage
cabbage	"der Kohl, die Kohle
Plural selten"
"der Brokkoli, die Brokkolis
Plural selten"	broccoli
broccoli	"der Brokkoli, die Brokkolis
Plural selten"
der Salat, die Salate	lettuce/salad
lettuce/salad	der Salat, die Salate
"der Spinat
nur Singular"	spinach
spinach	"der Spinat
nur Singular"
das Radieschen, die Radieschen	radish
radish	das Radieschen, die Radieschen
Ich hätte gerne einen Bund Radieschen bitte.	I would like a bunch of radishes, please.
I would like a bunch of radishes, please.	Ich hätte gerne einen Bund Radieschen bitte.
die Aubergine, die Auberginen	eggplant
eggplant	die Aubergine, die Auberginen
die Kartoffel, die Kartoffeln	potato
potato	die Kartoffel, die Kartoffeln
Was möchtest du trinken?	What would you like to drink? (informal)
What would you like to drink? (informal)	Was möchtest du trinken?
Was möchten Sie trinken?	What would you like to drink? (formal)
What would you like to drink? (formal)	Was möchten Sie trinken?
der Tee, die Tees (nach Zahl: Tee)	tea
tea	der Tee, die Tees (nach Zahl: Tee)
Trinkst du Tee?	Do you drink tea? (informal)
Do you drink tea? (informal)	Trinkst du Tee?
Trinken Sie Tee?	Do you drink tea? (formal)
Do you drink tea? (formal)	Trinken Sie Tee?
Ich trinke gerne Tee.	I like tea.
I like tea.	Ich trinke gerne Tee.
der Kaffee, die Kaffees (nach Zahl: Kaffee)	coffee
coffee	der Kaffee, die Kaffees (nach Zahl: Kaffee)
Einen Kaffee bitte!	A coffee, please!
A coffee, please!	Einen Kaffee bitte!
"das Wasser
nur Singular"	water
water	"das Wasser
nur Singular"
"das stille Wasser
nur Singular"	still water
still water	"das stille Wasser
nur Singular"
"der Sprudel
nur Singular"	sparkling water
sparkling water	"der Sprudel
nur Singular"
die Apfelschorle, die Apfelschorlen (nach Zahl: Apfelschorle)	apple juice spritzer
apple juice spritzer	die Apfelschorle, die Apfelschorlen (nach Zahl: Apfelschorle)
Eine Cola bitte!	A coke, please!
A coke, please!	Eine Cola bitte!
das Bier, die Biere (nach Zahl: Bier)	beer
beer	das Bier, die Biere (nach Zahl: Bier)
der Wein, die Weine (nach Zahl: Wein)	wine
wine	der Wein, die Weine (nach Zahl: Wein)
Was isst du gerne?	What do you like to eat? (informal)
What do you like to eat? (informal)	Was isst du gerne?
Ich esse gerne Reis.	I like to eat rice.
I like to eat rice.	Ich esse gerne Reis.
das Lieblingsessen, die Lieblingsessen	favorite food
favorite food	das Lieblingsessen, die Lieblingsessen
Mein Lieblingsessen ist Pizza.	My favorite food is pizza.
My favorite food is pizza.	Mein Lieblingsessen ist Pizza.
Ich bin Vegetarier.	I'm a vegetarian.
I'm a vegetarian.	Ich bin Vegetarier.
Isst du Fleisch?	Do you eat meat? (informal)
Do you eat meat? (informal)	Isst du Fleisch?
Ich esse kein Schweinefleisch.	I don't eat pork.
I don't eat pork.	Ich esse kein Schweinefleisch.
Trinkst du Alkohol?	Do you drink alcohol? (informal)
Do you drink alcohol? (informal)	Trinkst du Alkohol?
Nein, ich trinke keinen Alkohol.	No, I don't drink alcohol.
No, I don't drink alcohol.	Nein, ich trinke keinen Alkohol.
Ja, ich trinke Alkohol.	Yes, I drink alcohol.
Yes, I drink alcohol.	Ja, ich trinke Alkohol.
Das ist süß.	It's sweet.
It's sweet.	Das ist süß.
Das ist salzig.	It's salty. 
It's salty. 	Das ist salzig.
Das ist sauer.	It's sour.
It's sour.	Das ist sauer.
Schmeckt es dir?	Does it taste good? (informal)
Does it taste good? (informal)	Schmeckt es dir?
Ja, sehr gut!	Yes, very good.
Yes, very good.	Ja, sehr gut!
Das ist lecker.	It's delicious. 
It's delicious. 	Das ist lecker.
Nein, das schmeckt mir nicht!	No, that doesn't taste good.
No, that doesn't taste good.	Nein, das schmeckt mir nicht!
Das schmeckt bitter.	It tastes bitter. 
It tastes bitter. 	Das schmeckt bitter.
die Bluse, die Blusen	blouse
blouse	die Bluse, die Blusen
das Kleid, die Kleider	dress
dress	das Kleid, die Kleider
der Rock, die Röcke	skirt
skirt	der Rock, die Röcke
das T-Shirt, die T-Shirts	T-shirt
T-shirt	das T-Shirt, die T-Shirts
das Hemd, die Hemden	shirt
shirt	das Hemd, die Hemden
die Hose, die Hosen	pants/trousers
pants/trousers	die Hose, die Hosen
der Gürtel, die Gürtel	belt
belt	der Gürtel, die Gürtel
"der Pullover, die Pullover
Kurzform: der Pulli, die Pullis"	sweater/jumper
sweater/jumper	"der Pullover, die Pullover
Kurzform: der Pulli, die Pullis"
die Jacke, die Jacken	jacket
jacket	die Jacke, die Jacken
der Mantel, die Mäntel	coat
coat	der Mantel, die Mäntel
der Hut, die Hüte	hat
hat	der Hut, die Hüte
die Mütze, die Mützen	hat
hat	die Mütze, die Mützen
das Kopftuch, die Kopftücher	headscarf
headscarf	das Kopftuch, die Kopftücher
der Schal, die Schals	scarf
scarf	der Schal, die Schals
der Schuh, die Schuhe	shoes
shoes	der Schuh, die Schuhe
der Stiefel, die Stiefel	boots
boots	der Stiefel, die Stiefel
der Hausschuh, die Hausschuhe	slippers
slippers	der Hausschuh, die Hausschuhe
die Socke, die Socken	socks
socks	die Socke, die Socken
die Strumpfhose, die Strumpfhosen	tights/pantyhose
tights/pantyhose	die Strumpfhose, die Strumpfhosen
die Unterhose, die Unterhosen	underpants
underpants	die Unterhose, die Unterhosen
"der BH, die BHs
Abkürzung für: Büstenhalter"	bra
bra	"der BH, die BHs
Abkürzung für: Büstenhalter"
das Unterhemd, die Unterhemden	undershirt
undershirt	das Unterhemd, die Unterhemden
der Schlafanzug, die Schlafanzüge	pyjamas
pyjamas	der Schlafanzug, die Schlafanzüge
Eine Nummer größer bitte.	A larger size, please.
A larger size, please.	Eine Nummer größer bitte.
Eine Nummer kleiner bitte.	A smaller size, please.
A smaller size, please.	Eine Nummer kleiner bitte.
Das passt mir nicht.	It doesn't fit.
It doesn't fit.	Das passt mir nicht.
Das ist zu klein.	That is too small.
That is too small.	Das ist zu klein.
Das ist zu groß.	That is too large.
That is too large.	Das ist zu groß.
Das ist zu lang.	That is too long.
That is too long.	Das ist zu lang.
Das ist zu kurz.	That is too short.
That is too short.	Das ist zu kurz.
Das steht dir gut.	It suits you. (informal)
It suits you. (informal)	Das steht dir gut.
der Arzt, die Ärzte	doctor (male)
doctor (male)	der Arzt, die Ärzte
die Ärztin, die Ärztinnen	doctor (female)
doctor (female)	die Ärztin, die Ärztinnen
Ich möchte einen Termin bitte.	I would like an appointment, please.
I would like an appointment, please.	Ich möchte einen Termin bitte.
Ich habe Fieber.	I have a fever.
I have a fever.	Ich habe Fieber.
Mir ist schwindelig.	I'm dizzy.
I'm dizzy.	Mir ist schwindelig.
Ich habe Schmerzen.	I'm in pain.
I'm in pain.	Ich habe Schmerzen.
Wo haben Sie Schmerzen?	Where does it hurt? (formal)
Where does it hurt? (formal)	Wo haben Sie Schmerzen?
Welche Tabletten nehmen Sie?	What kind of medication are you on? (formal)
What kind of medication are you on? (formal)	Welche Tabletten nehmen Sie?
Ich habe Durchfall.	I have diarrhea.
I have diarrhea.	Ich habe Durchfall.
Ich habe Verstopfung.	I'm constipated.
I'm constipated.	Ich habe Verstopfung.
Ich habe eine Allergie.	I have an allergy.
I have an allergy.	Ich habe eine Allergie.
Ich habe Diabetes.	I have diabetes.
I have diabetes.	Ich habe Diabetes.
Tut das weh?	Does that hurt?
Does that hurt?	Tut das weh?
Das tut weh.	It hurts.
It hurts.	Das tut weh.
die Blasenentzündung, die Blasenentzündungen	bladder infection
bladder infection	die Blasenentzündung, die Blasenentzündungen
Der Hals ist entzündet.	The throat is infected.
The throat is infected.	Der Hals ist entzündet.
die Impfung, die Impfungen	vaccination
vaccination	die Impfung, die Impfungen
das Rezept, die Rezepte	prescription
prescription	das Rezept, die Rezepte
die Apotheke, die Apotheken	pharmacy
pharmacy	die Apotheke, die Apotheken
Gute Besserung!	Get well soon!
Get well soon!	Gute Besserung!
das Krankenhaus, die Krankenhäuser	hospital
hospital	das Krankenhaus, die Krankenhäuser
der Krankenpfleger, die Krankenpfleger	nurse (male)
nurse (male)	der Krankenpfleger, die Krankenpfleger
die Krankenschwester, die Krankenschwestern	nurse (female)
nurse (female)	die Krankenschwester, die Krankenschwestern
der Krankenwagen, die Krankenwagen	ambulance
ambulance	der Krankenwagen, die Krankenwagen
Rufen Sie einen Krankenwagen bitte!	Call an ambulance, please! (formal)
Call an ambulance, please! (formal)	Rufen Sie einen Krankenwagen bitte!
Das ist ein Notfall!	It's an emergency.
It's an emergency.	Das ist ein Notfall!
"die Notaufnahme, die Notaufnahmen
Plural selten"	emergency ward
emergency ward	"die Notaufnahme, die Notaufnahmen
Plural selten"
Was ist passiert?	What happened?
What happened?	Was ist passiert?
"etwas/jemanden röntgen
röntgt, röntgte, hat geröntgt"	to x-ray
to x-ray	"etwas/jemanden röntgen
röntgt, röntgte, hat geröntgt"
der Bruch, die Brüche	fracture
fracture	der Bruch, die Brüche
Das ist gebrochen.	It's broken.
It's broken.	Das ist gebrochen.
die Betäubung, die Betäubungen	anesthetic
anesthetic	die Betäubung, die Betäubungen
Sie bekommen eine Spritze.	You'll get an injection. (formal)
You'll get an injection. (formal)	Sie bekommen eine Spritze.
Wir müssen Blut abnehmen.	We have to take a blood sample.
We have to take a blood sample.	Wir müssen Blut abnehmen.
die Operation, die Operationen	operation/surgery
operation/surgery	die Operation, die Operationen
Das muss operiert werden.	It requires surgery.
It requires surgery.	Das muss operiert werden.
die Untersuchung, die Untersuchungen	examination
examination	die Untersuchung, die Untersuchungen
der Körper, die Körper	body
body	der Körper, die Körper
der Arm, die Arme	arm
arm	der Arm, die Arme
Mein Arm tut weh.	My arm hurts.
My arm hurts.	Mein Arm tut weh.
das Bein, die Beine	leg
leg	das Bein, die Beine
Mein Bein tut weh.	My leg hurts.
My leg hurts.	Mein Bein tut weh.
die Hand, die Hände	hand
hand	die Hand, die Hände
der Fuß, die Füße	foot
foot	der Fuß, die Füße
der Finger, die Finger	finger
finger	der Finger, die Finger
der Zahn, die Zähne	tooth
tooth	der Zahn, die Zähne
Ich habe Zahnschmerzen.	I have a toothache.
I have a toothache.	Ich habe Zahnschmerzen.
der Bauch, die Bäuche	stomach
stomach	der Bauch, die Bäuche
Ich habe Bauchschmerzen.	I have a stomachache.
I have a stomachache.	Ich habe Bauchschmerzen.
der Kopf, die Köpfe	head
head	der Kopf, die Köpfe
Ich habe Kopfschmerzen.	I have a headache.
I have a headache.	Ich habe Kopfschmerzen.
der Rücken, die Rücken	back
back	der Rücken, die Rücken
Ich habe Rückenschmerzen.	I have back pain.
I have back pain.	Ich habe Rückenschmerzen.
der Hals, die Hälse	throat
throat	der Hals, die Hälse
Mein Hals tut weh.	I have a sore throat.
I have a sore throat.	Mein Hals tut weh.
der Frauenarzt, die Frauenärzte	gynecologist (male)
gynecologist (male)	der Frauenarzt, die Frauenärzte
die Frauenärztin, die Frauenärztinnen	gynecologist (female)
gynecologist (female)	die Frauenärztin, die Frauenärztinnen
"die Regel
hier nur Singular"	period/menstruation
period/menstruation	"die Regel
hier nur Singular"
"die Tage
hier nur Plural"	period/menstruation
period/menstruation	"die Tage
hier nur Plural"
Ich habe meine Tage.	I have my period.
I have my period.	Ich habe meine Tage.
Ich habe starke Blutungen.	I have a heavy period.
I have a heavy period.	Ich habe starke Blutungen.
Ich habe Krämpfe.	I have menstrual cramps.
I have menstrual cramps.	Ich habe Krämpfe.
die Scheide, die Scheiden	vagina
vagina	die Scheide, die Scheiden
die Vagina, die Vaginen	vagina
vagina	die Vagina, die Vaginen
die Brust, die Brüste	breasts
breasts	die Brust, die Brüste
"die Gebärmutter, die Gebärmütter
Plural selten"	uterus
uterus	"die Gebärmutter, die Gebärmütter
Plural selten"
der Eierstock, die Eierstöcke	ovaries
ovaries	der Eierstock, die Eierstöcke
der Abstrich, die Abstriche	Pap smear
Pap smear	der Abstrich, die Abstriche
"der Ultraschall, die Ultraschalle
Plural selten"	ultrasound
ultrasound	"der Ultraschall, die Ultraschalle
Plural selten"
das Verhütungsmittel, die Verhütungsmittel	contraception
contraception	das Verhütungsmittel, die Verhütungsmittel
die Pille, die Pillen	the pill
the pill	die Pille, die Pillen
Nehmen Sie die Pille?	Are you on the pill? (formal)
Are you on the pill? (formal)	Nehmen Sie die Pille?
die Spirale, die Spiralen	IUD
IUD	die Spirale, die Spiralen
Haben Sie eine Spirale?	Do you have an IUD? (formal)
Do you have an IUD? (formal)	Haben Sie eine Spirale?
das Kondom, die Kondome	condom
condom	das Kondom, die Kondome
"der Geschlechtsverkehr
nur Singular"	sexual intercourse
sexual intercourse	"der Geschlechtsverkehr
nur Singular"
die Schwangerschaft, die Schwangerschaften	pregnancy
pregnancy	die Schwangerschaft, die Schwangerschaften
der Schwangerschaftstest, die Schwangerschaftstests	pregnancy test
pregnancy test	der Schwangerschaftstest, die Schwangerschaftstests
Der Schwangerschaftstest ist positiv.	The pregnancy test is positive.
The pregnancy test is positive.	Der Schwangerschaftstest ist positiv.
Sie sind schwanger.	You are pregnant. (formal)
You are pregnant. (formal)	Sie sind schwanger.
die Vorsorgeuntersuchung, die Vorsorgeuntersuchungen	prenatal screening
prenatal screening	die Vorsorgeuntersuchung, die Vorsorgeuntersuchungen
"der Ultraschall, die Ultraschalle
Plural selten"	ultrasound
ultrasound	"der Ultraschall, die Ultraschalle
Plural selten"
Im wievielten Monat sind Sie?	How far along are you?/When's the baby due? (formal)
How far along are you?/When's the baby due? (formal)	Im wievielten Monat sind Sie?
Ich bin im vierten Monat schwanger.	I'm four months pregnant.
I'm four months pregnant.	Ich bin im vierten Monat schwanger.
Es wird ein Junge.	It's a boy.
It's a boy.	Es wird ein Junge.
Es wird ein Mädchen.	It's a girl.
It's a girl.	Es wird ein Mädchen.
die Wehe, die Wehen	contractions
contractions	die Wehe, die Wehen
die Geburt, die Geburten	birth
birth	die Geburt, die Geburten
"die PDA, die PDAs
Abkürzung für: Periduralanästhesie"	epidural
epidural	"die PDA, die PDAs
Abkürzung für: Periduralanästhesie"
der Kaiserschnitt, die Kaiserschnitte	Caesarean section
Caesarean section	der Kaiserschnitt, die Kaiserschnitte
die Fehlgeburt, die Fehlgeburten	miscarriage
miscarriage	die Fehlgeburt, die Fehlgeburten
das Baby, die Babys	baby
baby	das Baby, die Babys
Mein Baby ist drei Monate alt.	My baby is three months old.
My baby is three months old.	Mein Baby ist drei Monate alt.
der Kinderarzt, die Kinderärzte	pediatrician (male)
pediatrician (male)	der Kinderarzt, die Kinderärzte
die Kinderärztin, die Kinderärztinnen	pediatrician (female)
pediatrician (female)	die Kinderärztin, die Kinderärztinnen
der Schnuller, die Schnuller	pacifier
pacifier	der Schnuller, die Schnuller
das Fläschchen, die Fläschchen	bottle
bottle	das Fläschchen, die Fläschchen
"(jemanden) stillen
stillt, stillte, hat gestillt"	to nurse
